days,samplesize,votertype,pollstername,pollsterrating,allred,cruz
4,2434,LV,AtlasIntel,2.7,46,53
10,600,LV,Cygnal,2.1,45,49
13,1180,LV,The New York Times/Siena College,3,46,50
13,1180,RV,The New York Times/Siena College,3,46,49
14,2120,LV,Morning Consult,1.9,44,47
15,400,LV,ActiVote,1.5,48,52
18,800,LV,GBAO,1.2,46,46
18,815,LV,Emerson College,2.9,47,48
22,956,LV,University of Texas at Tyler Center for Opinion Research,1.8,45,47
29,1108,RV,YouGov,3,45,49
30,2048,LV,Morning Consult,1.9,45,46
33,1186,LV,Marist College,2.9,46,51
33,1365,RV,Marist College,2.9,47,50
34,1091,LV,Texas Politics Project at the University of Texas/YouGov,3,44,51
34,775,LV,Florida Atlantic University PolCom Lab/Mainstreet Research,2,44,47
34,811,RV,Florida Atlantic University PolCom Lab/Mainstreet Research,2,43,46
35,400,LV,ActiVote,1.5,47,53
37,617,LV,The New York Times/Siena College,3,44,48
37,617,RV,The New York Times/Siena College,3,43,45
40,1329,LV,University of Houston Hobby School of Public Affairs/YouGov,2.2,46,50
41,779,LV,RMG Research,2.3,47,50
41,759,RV,Public Policy Polling,1.4,46,47
41,759,RV,Public Policy Polling,1.4,43,45
44,950,LV,Emerson College,2.9,45,49
53,1200,LV,Texas Hispanic Policy Foundation,2.6,45,48
57,2716,LV,Morning Consult,1.9,45,44
61,400,LV,ActiVote,1.5,48,52
62,504,LV,CWS Research,1.6,40,46
63,845,LV,Emerson College,2.9,44,48
67,2940,LV,Morning Consult,1.9,42,47
72,400,LV,ActiVote,1.5,45,55
73,800,RV,Lake Research Partners,1.2,43,47
74,1200,RV,Texas Politics Project at the University of Texas/YouGov,3,36,44
76,725,RV,Public Policy Polling,1.4,40,44
76,1365,LV,University of Houston Hobby School of Public Affairs/Texas Southern University School of Public Affairs,2.2,45,47
84,725,RV,Public Policy Polling,1.4,45,47
92,400,LV,ActiVote,1.5,46,54
129,1484,LV,University of Houston Hobby School of Public Affairs/Texas Southern University School of Public Affairs,2.2,44,47
137,931,LV,University of Texas at Tyler Center for Opinion Research,1.8,42,45
138,600,LV,Manhattan Institute,2,43,46
146,1200,RV,Texas Politics Project at the University of Texas/YouGov,3,33,46
147,1144,RV,University of Texas at Tyler Center for Opinion Research,1.8,39,43
147,1200,RV,Texas Politics Project at the University of Texas/YouGov,3,34,45
158,926,RV,Texas Lyceum,2.5,31,41
207,1600,LV,Texas Hispanic Policy Foundation,2.6,41,46
214,1000,LV,Cygnal,2.1,36,45
215,1117,RV,Marist College,2.9,45,51
232,1167,RV,University of Texas at Tyler Center for Opinion Research,1.8,41,41
261,1200,RV,Texas Politics Project at the University of Texas/YouGov,3,31,45
277,1200,RV,Texas Politics Project at the University of Texas/YouGov,3,32,46
277,807,LV,National Public Affairs,2.3,44,44
297,1315,RV,Emerson College,2.9,40,41
299,1145,LV,University of Houston Hobby School of Public Affairs/YouGov,2.2,38,48
299,1145,LV,University of Houston Hobby School of Public Affairs/YouGov,2.2,39,48
340,1200,RV,Texas Politics Project at the University of Texas/YouGov,3,26,42
340,1200,RV,Texas Politics Project at the University of Texas/YouGov,3,27,43
421,1071,LV,Z to A Research,2.7,42,47
545,1413,RV,University of Texas at Tyler Center for Opinion Research,1.8,37,42
547,1000,RV,Texas Hispanic Policy Foundation,2.6,40,47
